Image,Label
dataset_images/Cotton01.jpg,Cotton
dataset_images/Cotton02.jpg,Cotton
dataset_images/Cotton03.jpg,Cotton
dataset_images/Cotton04.jpg,Cotton
dataset_images/Cotton05.jpg,Cotton
dataset_images/Cotton06.jpg,Cotton
dataset_images/Cotton07.jpeg,Cotton
dataset_images/Cotton08.jpg,Cotton
dataset_images/Cotton09.jpg,Cotton
dataset_images/Cotton10.jpeg,Cotton
dataset_images/Cotton11.jpg,Cotton
dataset_images/Cotton12.jpg,Cotton
dataset_images/Leather01.jpg,Leather
dataset_images/Leather02.jpg,Leather
dataset_images/Leather03.jpg,Leather
dataset_images/Leather04.png,Leather
dataset_images/Leather05.jpg,Leather
dataset_images/Leather06.jpg,Leather
dataset_images/Leather07.jpg,Leather
dataset_images/Leather08.jpg,Leather
dataset_images/Leather09.jpg,Leather
dataset_images/Leather10.jpg,Leather
dataset_images/Leather11.jpg,Leather
dataset_images/Leather12.jpg,Leather
dataset_images/Leather13.jpg,Leather
dataset_images/Leather14.jpg,Leather
dataset_images/Leather15.jpg,Leather
dataset_images/Leather16.jpg,Leather
dataset_images/Leather17.jpg,Leather
dataset_images/Leather18.jpeg,Leather
dataset_images/Leather19.jpg,Leather
dataset_images/Leather20.jpg,Leather
dataset_images/Leather21.jpg,Leather
dataset_images/Leather22.jpg,Leather
dataset_images/Leather23.jpg,Leather
dataset_images/Leather24.jpg,Leather
dataset_images/Leather25.jpg,Leather
dataset_images/Leather26.jpg,Leather
dataset_images/Cotton13.jpg,Cotton
dataset_images/Cotton14.jpg,Cotton
dataset_images/Cotton15.jpg,Cotton
dataset_images/Cotton16.jpg,Cotton
dataset_images/Cotton17.jpg,Cotton
dataset_images/Cotton18.jpg,Cotton
dataset_images/Cotton19.jpg,Cotton
dataset_images/Cotton20.jpg,Cotton
dataset_images/Cotton21.jpg,Cotton
dataset_images/Cotton22.jpg,Cotton
dataset_images/Cotton23.jpg,Cotton
dataset_images/Cotton24.jpg,Cotton
dataset_images/Cotton25.jpg,Cotton
dataset_images/Cotton26.jpg,Cotton
